point_id,x_report_m,y_report_m,x_snap_m,y_snap_m,z_snap_m,found,dist_xy_m
R1_start,-4.515621,-11.876895,nan,nan,nan,1,nan
R1_3m,-4.175621,-8.906895,nan,nan,nan,1,nan
R1_6m,-3.835621,-5.926895,nan,nan,nan,1,nan
R1_9m,-3.495621,-2.946895,nan,nan,nan,1,nan
R1_12m,-3.155621,0.033105,-4.217669,0.362800,1.160137,0,1.112045
R1_15m,-2.815621,3.013105,-5.232007,3.979397,-0.635906,0,2.602430
R1_18m,-2.475621,5.993105,-4.291637,6.255178,-1.770617,0,1.834829
R1_21m,-2.135621,9.003105,-2.628100,8.863990,-3.080154,0,0.511750
R1_24m,-1.795621,11.963105,-2.649452,12.144821,-2.928335,0,0.872953
R1_27m,-1.425621,15.083105,-2.689954,14.938919,-2.835003,0,1.272528
R1_30m,-1.095621,18.043105,-1.236638,18.235156,-3.422032,0,0.238263
R1_33m,-0.755621,20.933105,-1.323811,19.622595,-3.430259,0,1.428382
R1_36m,-0.395621,23.973105,-2.136996,21.627660,-4.206632,0,2.921215
R1_39m,-0.055621,26.453105,-2.439598,26.388088,-3.825395,0,2.384863
R1_42m,0.374379,30.113105,2.375943,29.742185,1.017013,0,2.035643
R1_end,0.574379,32.673105,2.583794,32.387623,0.899896,0,2.029593
R2_start,-2.985621,-11.976895,nan,nan,nan,1,nan
R2_3m,-2.655621,-8.976895,nan,nan,nan,1,nan
R2_6m,-2.305621,-6.026895,-0.772656,-6.587756,1.070715,0,1.632344
R2_9m,-1.965621,-3.046895,nan,nan,nan,1,nan
R2_12m,-1.625621,-0.066895,-4.217669,0.362800,1.160137,0,2.627423
R2_15m,-1.285621,2.923105,1.515940,3.157617,1.391019,0,2.811359
R2_18m,-0.945621,5.903105,-2.616388,7.608521,-3.110006,0,2.387448
R2_21m,-0.615621,8.883105,-0.673615,9.980050,-3.877318,0,1.098477
R2_24m,-0.275621,11.853105,-0.786990,11.657969,-3.752912,0,0.547336
R2_27m,0.044379,14.883105,-1.025958,15.168724,-3.590985,0,1.107790
R2_30m,0.404379,17.903105,-1.204085,17.733073,-3.432763,0,1.617426
R2_33m,0.884379,20.823105,-1.323811,19.622595,-3.430259,0,2.513429
R2_36m,1.074379,23.753105,2.950012,23.923822,0.525950,0,1.883386
R2_39m,1.504379,27.073105,2.682819,27.245579,0.592210,0,1.190995
R2_42m,1.554379,29.983105,3.694665,29.950877,0.096100,0,2.140528
R2_end,1.954379,31.643105,3.790936,32.354939,-0.297097,0,1.969682
