point_id,x_m,y_m,z_ref_m,z_raw_m,dz_raw_m,missing_raw,raw_samples,frames_used,z_filt_full_chain_m,dz_filt_full_chain_m,missing_filt_full_chain,filt_samples_full_chain,z_filt_kalman_m,dz_filt_kalman_m,missing_filt_kalman,filt_samples_kalman,z_filt_normal_m,dz_filt_normal_m,missing_filt_normal,filt_samples_normal,z_filt_outlier_m,dz_filt_outlier_m,missing_filt_outlier,filt_samples_outlier,z_filt_planarity_m,dz_filt_planarity_m,missing_filt_planarity,filt_samples_planarity,z_filt_best_m,dz_filt_best_m,filt_best_name
R1_start,-4.515621,-11.876895,-1.888502,-1.894634,-0.006132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_3m,-4.175621,-8.906895,-2.028502,-1.974634,0.053868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_6m,-3.835621,-5.926895,-1.958502,-2.024634,-0.066132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_9m,-3.495621,-2.946895,-1.998502,-1.994634,0.003868,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_12m,-3.155621,0.033105,-1.998502,-2.034634,-0.036132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_15m,-2.815621,3.013105,-1.928502,-2.004634,-0.076132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_18m,-2.475621,5.993105,-2.008502,-2.044634,-0.036132,0,0,20,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,nan,nan,
R1_21m,-2.135621,9.003105,-1.978502,-1.984634,-0.006132,0,0,20,3.448432,5.426934,0,19,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,3.447062,5.425564,0,19,3.447062,5.425564,planarity
R1_24m,-1.795621,11.963105,-2.048502,-2.064634,-0.016132,0,19,20,3.042106,5.090608,0,19,3.798283,5.846785,0,19,3.804957,5.853459,0,12,3.798470,5.846972,0,19,3.042258,5.090760,0,19,3.042106,5.090608,full_chain
R1_27m,-1.425621,15.083105,-1.968502,-1.964634,0.003868,0,0,20,3.985124,5.953626,0,8,nan,nan,1,0,nan,nan,1,0,nan,nan,1,0,3.975975,5.944477,0,8,3.975975,5.944477,planarity
